"generation","n","sales_total","sales_pct"
"1_SILENT","3","6.71","0.01107406918405069976"
"2_BABY_BOOMER","40","233.03","0.38458872458410351201"
"3_GEN_X","45","169.13","0.27912925798785318194"
"4_MILLENNIAL","41","194.10","0.32033931872194349089"
"5_GEN_Z","1","1.97","0.00325125429099551096"
"LIKELY_ERROR","1","0.98","0.00161737523105360444"
