"generation","n","sales_total","sales_pct"
"2_BABY_BOOMER","5","86.56","0.54255985959633947599"
"3_GEN_X","7","37.81","0.23699385733985207471"
"4_MILLENNIAL","5","35.17","0.22044628306380844929"
